ig,A,alph,H," 'First letter of the Igbo alphabet;
    2open unrounded front vowel. a dem  [L] this; this one - nke a = this one;
obodo a = this town. *See ""ahÅ"" = that; that
  one. a prn [H] 'I; first person pronoun; 2it -A na-
ekwu na - it is said that; 'one (used in impersonal constructions) -Anaghãeji abalã acî
eghu ojii = one doesn 't look for a black goal
  by night. a-a   excl  [H-L]  oh!; what!; exclamation of
  surprise. aba ddj [LH] flat; prone - dee ha aba = lay
  them flat. aba n [HH] 'metal rod, bar orpin; ^forked pole,
used to support roof or scaffolding; Jhook or
  staple. *See ""oke azÅ"" = pole. aba n [HH] bottle; glass container, *See also
  ""akarama,"" ekpem,"" ""irom"", and ""ololo"". aba n [HL] short form of ""aba-iceku"", a type
  of tree. var. abaceku. aba n [LL] ' branch of a tree; 2road junction;
    3house corner, var. agba. aba n [LL] open wound; sore with pus. * See
  ""înya"" = wound. aba n [LL] 'iron rod or metal bar; 2(sometimes)
short metal piece used to hold something
  together; metal pin; staple. aba n [LL] house corner. aba n [LL] epoch or season; period of time in
the past marked by very important events.
"
ig,var. aba. aba,n,LL," (Afãkpo) masked spirit or masquerade - oke aba = chief (or principal)
  masquerade. abaaja n [HHHH] sand. * See ""uzuzu"" = fine
  sand. aba aka n [LH HH] kindred; lineage. abaaka n [LLHH] twig; tree-branch; van ana
"
ig,aka. aba ezi,n,LH HH," road crossing; intersection. var. agba Åzî aba iceku n [LL-LHH] leguminous tree, used
as a fallow crop; (possibly) velvet tamarind
(Dialum guineensâ).

"
ig,abaãnya,n,LL HL," first hair on baby's head; baby hair. var. aba nya; abînfi; apînfã.
"
ig,abaîmi,n,LLHH," cheek;jaw. var. agbanti; agba înÅ.
"
ig,abaca,n,HHH," day-old young chick; grower chick; sometimes called ""uriîm"" or ""Åyîm"".
"
ig,abaca,n,LLL," 'sliced, dried cassava flak.es; tapioca flakes; 2salad made from tapioca: flakes, var. abaja. *See ""acfca"" = wafere.
"
ig,abada,n,LLH," wax printed cloth; wax priît; printed cloth.
"
ig,abadaba,adj,HHHH," broad; flat or wide.
"
ig,abadaba,n,LLLL," narrow raffia-and-cotton cloth, the material from which men's traditional pants or loin cloths were made.
"
ig,abaja,n,LLL," sliced cassava; tapioca flakes. var. abaca.
"
ig,abaje,n,HHH," (loan(?)) barrel.
"
ig,abaka,n,LLH," type of fish.
"
ig,abakpa,n,LLL," (loan(?)) market-town; originally name for section of Igbo town settled by Hausa traders and cattlemen; now found as specific place name for urban areas no longer so-settled - Abakpa-Nike = the Hausa quarters at Nike (near Emigu).
"
ig,abala,n,HHH," iroko fruit. *See ""Åpî îjã"" = Lroko fruit.
"
ig,abala,n,HHL," fowl meat, especially including wing or leg. var. abara.
"
ig,abala agãdã,n,LLH HHL," blanket; thick cover clotli worn to keep off the harmattan. var. abara agãdã; abara ngãdã; avara ngãdã.
"
ig,abala ngãdã,n,LLH HHL," blanket;.thick cover cloth worn to keep off the harmattan. var. abara agãdã; abala ngãdã; avara ngãdã.
"
ig,abalaba,n,HHHH," food bowl made of clay.
"
ig,abalã,n,LLL," night; night-time -Abaiãdãegwu! = night time is frightening or mysterious, var. abanã; a§asã
"
ig,abalã,n,LLL," climbing rope made from brush-like plant var. aparã.
"
ig,abalã isi,n,LLL LL," dead of night; the pitch darkness of night, var. abafiishi.
"
ig,abaK-dã-egwu,/;,LLL-L-HL," robbers; underworld gangs; whence, robbery - ndã abalã-dã-egwu = men of the criminal underworld, usually operating by night: hence, robbers; abalã-dã-egwu akariala = there's too much robbeiy.
"
ig,abam,n,HLL," corner; edge.

abana

Igbo Dictionary

abÅa



"
